symptom,related
itching,"{'dark_urine', 'yellowish_skin', 'malaise', 'skin_rash', 'vomiting', 'yellowing_of_eyes', 'abdominal_pain', 'fatigue', 'loss_of_appetite', 'high_fever', 'lethargy'}"
skin_rash,"{'malaise', 'itching', 'joint_pain', 'red_spots_over_body', 'fatigue', 'headache', 'loss_of_appetite', 'high_fever'}"
nodal_skin_eruptions,set()
continuous_sneezing,"{'throat_irritation', 'malaise', 'runny_nose', 'sinus_pressure', 'congestion', 'chills', 'swelled_lymph_nodes', 'phlegm', 'loss_of_smell', 'cough', 'fatigue', 'headache', 'muscle_pain', 'high_fever', 'chest_pain', 'redness_of_eyes'}"
shivering,set()
chills,"{'malaise', 'continuous_sneezing', 'sweating', 'nausea', 'vomiting', 'breathlessness', 'swelled_lymph_nodes', 'phlegm', 'cough', 'fatigue', 'headache', 'muscle_pain', 'loss_of_appetite', 'high_fever', 'chest_pain', 'diarrhoea'}"
joint_pain,"{'dark_urine', 'yellowish_skin', 'skin_rash', 'nausea', 'vomiting', 'yellowing_of_eyes', 'abdominal_pain', 'fatigue', 'muscle_pain', 'loss_of_appetite', 'high_fever'}"
stomach_pain,"{'chest_pain', 'cough'}"
acidity,"{'indigestion', 'visual_disturbances', 'depression', 'irritability', 'blurred_and_distorted_vision', 'headache', 'stiff_neck', 'excessive_hunger'}"
ulcers_on_tongue,set()
muscle_wasting,set()
vomiting,"{'dark_urine', 'yellowish_skin', 'sweating', 'nausea', 'yellowing_of_eyes', 'joint_pain', 'chills', 'abdominal_pain', 'fatigue', 'headache', 'loss_of_appetite', 'high_fever', 'diarrhoea'}"
burning_micturition,set()
spotting_ urination,set()
fatigue,"{'dark_urine', 'yellowish_skin', 'malaise', 'sweating', 'nausea', 'vomiting', 'yellowing_of_eyes', 'weight_loss', 'chills', 'abdominal_pain', 'cough', 'headache', 'loss_of_appetite', 'high_fever', 'lethargy'}"
weight_gain,"{'puffy_face_and_eyes', 'swollen_extremeties', 'mood_swings', 'cold_hands_and_feets', 'depression', 'dizziness', 'abnormal_menstruation', 'enlarged_thyroid', 'brittle_nails', 'irritability', 'lethargy'}"
anxiety,"{'drying_and_tingling_lips', 'sweating', 'nausea', 'vomiting', 'slurred_speech', 'palpitations', 'irritability', 'blurred_and_distorted_vision', 'fatigue', 'headache', 'excessive_hunger'}"
cold_hands_and_feets,"{'puffy_face_and_eyes', 'swollen_extremeties', 'mood_swings', 'depression', 'dizziness', 'abnormal_menstruation', 'enlarged_thyroid', 'brittle_nails', 'irritability', 'lethargy', 'weight_gain'}"
mood_swings,"{'muscle_weakness', 'sweating', 'diarrhoea', 'swollen_extremeties', 'puffy_face_and_eyes', 'cold_hands_and_feets', 'depression', 'restlessness', 'dizziness', 'abnormal_menstruation', 'weight_loss', 'enlarged_thyroid', 'brittle_nails', 'irritability', 'fast_heart_rate', 'fatigue', 'lethargy', 'weight_gain', 'excessive_hunger'}"
