symptom,related
itching,dark_urine
itching,yellowish_skin
itching,malaise
itching,skin_rash
itching,vomiting
itching,yellowing_of_eyes
itching,abdominal_pain
itching,fatigue
itching,loss_of_appetite
itching,high_fever
itching,lethargy
skin_rash,malaise
skin_rash,itching
skin_rash,joint_pain
skin_rash,red_spots_over_body
skin_rash,fatigue
skin_rash,headache
skin_rash,loss_of_appetite
skin_rash,high_fever
continuous_sneezing,throat_irritation
continuous_sneezing,malaise
continuous_sneezing,runny_nose
continuous_sneezing,sinus_pressure
continuous_sneezing,congestion
continuous_sneezing,chills
continuous_sneezing,swelled_lymph_nodes
continuous_sneezing,phlegm
continuous_sneezing,loss_of_smell
continuous_sneezing,cough
continuous_sneezing,fatigue
continuous_sneezing,headache
continuous_sneezing,muscle_pain
continuous_sneezing,high_fever
continuous_sneezing,chest_pain
continuous_sneezing,redness_of_eyes
chills,malaise
chills,continuous_sneezing
chills,sweating
chills,nausea
chills,vomiting
chills,breathlessness
chills,swelled_lymph_nodes
chills,phlegm
chills,cough
chills,fatigue
chills,headache
chills,muscle_pain
chills,loss_of_appetite
chills,high_fever
chills,chest_pain
chills,diarrhoea
joint_pain,dark_urine
joint_pain,yellowish_skin
joint_pain,skin_rash
joint_pain,nausea
joint_pain,vomiting
joint_pain,yellowing_of_eyes
joint_pain,abdominal_pain
joint_pain,fatigue
joint_pain,muscle_pain
joint_pain,loss_of_appetite
joint_pain,high_fever
stomach_pain,chest_pain
stomach_pain,cough
acidity,indigestion
acidity,visual_disturbances
acidity,depression
acidity,irritability
acidity,blurred_and_distorted_vision
acidity,headache
acidity,stiff_neck
acidity,excessive_hunger
vomiting,dark_urine
vomiting,yellowish_skin
vomiting,sweating
vomiting,nausea
vomiting,yellowing_of_eyes
vomiting,joint_pain
vomiting,chills
vomiting,abdominal_pain
vomiting,fatigue
vomiting,headache
vomiting,loss_of_appetite
vomiting,high_fever
vomiting,diarrhoea
fatigue,dark_urine
fatigue,yellowish_skin
fatigue,malaise
fatigue,sweating
fatigue,nausea
fatigue,vomiting
fatigue,yellowing_of_eyes
fatigue,weight_loss
fatigue,chills
fatigue,abdominal_pain
fatigue,cough
fatigue,headache
fatigue,loss_of_appetite
fatigue,high_fever
fatigue,lethargy
weight_gain,puffy_face_and_eyes
weight_gain,swollen_extremeties
weight_gain,mood_swings
weight_gain,cold_hands_and_feets
weight_gain,depression
weight_gain,dizziness
weight_gain,abnormal_menstruation
weight_gain,enlarged_thyroid
weight_gain,brittle_nails
weight_gain,irritability
weight_gain,lethargy
anxiety,drying_and_tingling_lips
anxiety,sweating
anxiety,nausea
anxiety,vomiting
anxiety,slurred_speech
anxiety,palpitations
anxiety,irritability
anxiety,blurred_and_distorted_vision
anxiety,fatigue
anxiety,headache
anxiety,excessive_hunger
cold_hands_and_feets,puffy_face_and_eyes
cold_hands_and_feets,swollen_extremeties
cold_hands_and_feets,mood_swings
cold_hands_and_feets,depression
cold_hands_and_feets,dizziness
cold_hands_and_feets,abnormal_menstruation
cold_hands_and_feets,enlarged_thyroid
cold_hands_and_feets,brittle_nails
cold_hands_and_feets,irritability
cold_hands_and_feets,lethargy
cold_hands_and_feets,weight_gain
mood_swings,muscle_weakness
mood_swings,sweating
mood_swings,diarrhoea
mood_swings,swollen_extremeties
mood_swings,puffy_face_and_eyes
mood_swings,cold_hands_and_feets
mood_swings,depression
mood_swings,restlessness
mood_swings,dizziness
mood_swings,abnormal_menstruation
mood_swings,weight_loss
mood_swings,enlarged_thyroid
mood_swings,brittle_nails
mood_swings,irritability
mood_swings,fast_heart_rate
mood_swings,fatigue
mood_swings,lethargy
mood_swings,weight_gain
mood_swings,excessive_hunger
weight_loss,dark_urine
weight_loss,polyuria
weight_loss,vomiting
weight_loss,increased_appetite
weight_loss,swelled_lymph_nodes
weight_loss,phlegm
weight_loss,malaise
weight_loss,abnormal_menstruation
weight_loss,chills
weight_loss,irregular_sugar_level
weight_loss,abdominal_pain
weight_loss,mild_fever
weight_loss,obesity
weight_loss,blood_in_sputum
weight_loss,loss_of_appetite
weight_loss,fast_heart_rate
weight_loss,diarrhoea
weight_loss,blurred_and_distorted_vision
weight_loss,fatigue
weight_loss,high_fever
weight_loss,chest_pain
weight_loss,muscle_weakness
weight_loss,yellowish_skin
weight_loss,sweating
weight_loss,mood_swings
weight_loss,yellowing_of_eyes
weight_loss,itching
weight_loss,restlessness
weight_loss,breathlessness
weight_loss,irritability
weight_loss,cough
weight_loss,lethargy
weight_loss,excessive_hunger
restlessness,muscle_weakness
restlessness,sweating
restlessness,diarrhoea
restlessness,polyuria
restlessness,mood_swings
restlessness,increased_appetite
restlessness,abnormal_menstruation
restlessness,weight_loss
restlessness,irregular_sugar_level
restlessness,irritability
restlessness,blurred_and_distorted_vision
restlessness,fast_heart_rate
restlessness,obesity
restlessness,fatigue
restlessness,lethargy
restlessness,excessive_hunger
lethargy,dark_urine
lethargy,polyuria
lethargy,increased_appetite
lethargy,brittle_nails
